Result Time,Granularity Period,Object Name,Reliability,67179778,67179779,67179781,67179782,73421882,73421883,73421886,73422166
,Minutes,,,None,None,None,None,None,None,None,None
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS5122A, CellID=51221",Reliable,0,37,12,212,41,2,1,3
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3842I, CellID=38429",Reliable,0,25,15,323,25,1,1,1
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3842H, CellID=38428",Reliable,0,25,12,266,35,1,1,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3842G, CellID=38427",Reliable,1,21,34,449,103,9,3,2
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3159H, CellID=31598",Reliable,1,27,29,313,38,5,2,7
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3159G, CellID=31597",Reliable,0,34,56,467,145,9,1,3
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3015I, CellID=30159",Reliable,0,80,53,585,185,10,3,1
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3015H, CellID=30158",Reliable,0,93,62,648,190,12,5,4
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3015G, CellID=30157",Reliable,0,46,18,345,73,2,1,1
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3668C, CellID=36683",Reliable,0,0,0,0,0,0,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4163I, CellID=41639",Reliable,0,15,4,223,44,2,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4163H, CellID=41638",Reliable,0,31,12,340,41,1,2,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4163G, CellID=41637",Reliable,0,33,58,520,151,8,5,7
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3713F, CellID=37136",Reliable,0,0,0,0,0,0,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4613F, CellID=46136",Reliable,0,7,1,48,2,0,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4613E, CellID=46135",Reliable,0,9,1,37,2,1,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4613D, CellID=46134",Reliable,0,27,3,123,20,1,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4332F, CellID=43326",Reliable,0,7,5,126,12,1,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4332E, CellID=43325",Reliable,0,12,2,147,15,2,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS4332D, CellID=43324",Reliable,0,6,0,129,9,0,0,0
2023-03-20 08:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3864A, CellID=38641",Reliable,0,12,2,66,3,0,1,0
