CELLID,DIA,HORA
31758,07/02/2023,14:30
31759,07/02/2023,14:30
31781,07/02/2023,14:30
31782,07/02/2023,14:30
31783,07/02/2023,14:30
31784,07/02/2023,14:30
31785,07/02/2023,14:30
31786,07/02/2023,14:30
31787,07/02/2023,14:30
31788,07/02/2023,14:30
31789,07/02/2023,14:30
31851,07/02/2023,14:30
31852,07/02/2023,14:30
31853,07/02/2023,14:30
31854,07/02/2023,14:30
31855,07/02/2023,14:30
31856,07/02/2023,14:30
31857,07/02/2023,14:30
31858,07/02/2023,14:30
31859,07/02/2023,14:30
31861,07/02/2023,14:30
31862,07/02/2023,14:30
31863,07/02/2023,14:30
31864,07/02/2023,14:30
31865,07/02/2023,14:30
31866,07/02/2023,14:30
31871,07/02/2023,14:30
31872,07/02/2023,14:30
31873,07/02/2023,14:30
31874,07/02/2023,14:30
31875,07/02/2023,14:30
31876,07/02/2023,14:30
31877,07/02/2023,14:30
31878,07/02/2023,14:30
31879,07/02/2023,14:30
31891,07/02/2023,14:30
31892,07/02/2023,14:30
31893,07/02/2023,14:30
31894,07/02/2023,14:30
31895,07/02/2023,14:30
31896,07/02/2023,14:30
31897,07/02/2023,14:30
31898,07/02/2023,14:30
31899,07/02/2023,14:30
31911,07/02/2023,14:30
31912,07/02/2023,14:30
31913,07/02/2023,14:30
31914,07/02/2023,14:30
31915,07/02/2023,14:30
31916,07/02/2023,14:30
31917,07/02/2023,14:30
31918,07/02/2023,14:30
31919,07/02/2023,14:30
31941,07/02/2023,14:30
31942,07/02/2023,14:30
31943,07/02/2023,14:30
31944,07/02/2023,14:30
31945,07/02/2023,14:30
31946,07/02/2023,14:30
31947,07/02/2023,14:30
31948,07/02/2023,14:30
31949,07/02/2023,14:30
31981,07/02/2023,14:30
31982,07/02/2023,14:30
31983,07/02/2023,14:30
31984,07/02/2023,14:30
31985,07/02/2023,14:30
31986,07/02/2023,14:30
31987,07/02/2023,14:30
31988,07/02/2023,14:30
31989,07/02/2023,14:30
31991,07/02/2023,14:30
31992,07/02/2023,14:30
31993,07/02/2023,14:30
31994,07/02/2023,14:30
31995,07/02/2023,14:30
31996,07/02/2023,14:30
32001,07/02/2023,14:30
32002,07/02/2023,14:30
32003,07/02/2023,14:30
32004,07/02/2023,14:30
32005,07/02/2023,14:30
32006,07/02/2023,14:30
32007,07/02/2023,14:30
32008,07/02/2023,14:30
32009,07/02/2023,14:30
32011,07/02/2023,14:30
32012,07/02/2023,14:30
32014,07/02/2023,14:30
32015,07/02/2023,14:30
32017,07/02/2023,14:30
32018,07/02/2023,14:30
32021,07/02/2023,14:30
32022,07/02/2023,14:30
32023,07/02/2023,14:30
32024,07/02/2023,14:30
32025,07/02/2023,14:30
32026,07/02/2023,14:30
32027,07/02/2023,14:30
32028,07/02/2023,14:30
32029,07/02/2023,14:30
32031,07/02/2023,14:30
32032,07/02/2023,14:30
32033,07/02/2023,14:30
32034,07/02/2023,14:30
32035,07/02/2023,14:30
32036,07/02/2023,14:30
32037,07/02/2023,14:30
32038,07/02/2023,14:30
32039,07/02/2023,14:30
32041,07/02/2023,14:30
32042,07/02/2023,14:30
32043,07/02/2023,14:30
32044,07/02/2023,14:30
32045,07/02/2023,14:30
32046,07/02/2023,14:30
32047,07/02/2023,14:30
32048,07/02/2023,14:30
32049,07/02/2023,14:30
32051,07/02/2023,14:30
32052,07/02/2023,14:30
32053,07/02/2023,14:30
32054,07/02/2023,14:30
32055,07/02/2023,14:30
32056,07/02/2023,14:30
32057,07/02/2023,14:30
32058,07/02/2023,14:30
32059,07/02/2023,14:30
32081,07/02/2023,14:30
32082,07/02/2023,14:30
32083,07/02/2023,14:30
32084,07/02/2023,14:30
32085,07/02/2023,14:30
32086,07/02/2023,14:30
32087,07/02/2023,14:30
32088,07/02/2023,14:30
32089,07/02/2023,14:30
32091,07/02/2023,14:30
32092,07/02/2023,14:30
32093,07/02/2023,14:30
32094,07/02/2023,14:30
32095,07/02/2023,14:30
32096,07/02/2023,14:30
32121,07/02/2023,14:30
32122,07/02/2023,14:30
32123,07/02/2023,14:30
32124,07/02/2023,14:30
32125,07/02/2023,14:30
32126,07/02/2023,14:30
32127,07/02/2023,14:30
32128,07/02/2023,14:30
32129,07/02/2023,14:30
32151,07/02/2023,14:30
32152,07/02/2023,14:30
32153,07/02/2023,14:30
32154,07/02/2023,14:30
32155,07/02/2023,14:30
32156,07/02/2023,14:30
32157,07/02/2023,14:30
32158,07/02/2023,14:30
32159,07/02/2023,14:30
32171,07/02/2023,14:30
32172,07/02/2023,14:30
32173,07/02/2023,14:30
32174,07/02/2023,14:30
32175,07/02/2023,14:30
32176,07/02/2023,14:30
32177,07/02/2023,14:30
32178,07/02/2023,14:30
32179,07/02/2023,14:30
32201,07/02/2023,14:30
32202,07/02/2023,14:30
32204,07/02/2023,14:30
32205,07/02/2023,14:30
32207,07/02/2023,14:30
32208,07/02/2023,14:30
32231,07/02/2023,14:30
32232,07/02/2023,14:30
32233,07/02/2023,14:30
32234,07/02/2023,14:30
32235,07/02/2023,14:30
32236,07/02/2023,14:30
32237,07/02/2023,14:30
32238,07/02/2023,14:30
32239,07/02/2023,14:30
32271,07/02/2023,14:30
