Result Time,Granularity Period,Object Name,Reliability,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989E, CellID=39895",Reliable,1098,1033
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989D, CellID=39894",Reliable,921,876
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4456C, CellID=44563",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4456B, CellID=44562",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4456A, CellID=44561",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3681C, CellID=36813",Reliable,768,711
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3681B, CellID=36812",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3681A, CellID=36811",Reliable,440,386
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3387C, CellID=33873",Reliable,981,924
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3387B, CellID=33872",Reliable,782,744
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3387A, CellID=33871",Reliable,212,203
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3026C, CellID=30263",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3026B, CellID=30262",Reliable,1299,1241
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3026A, CellID=30261",Reliable,2417,2275
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3190C, CellID=31903",Reliable,2255,2123
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3190B, CellID=31902",Reliable,2060,1951
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3190A, CellID=31901",Reliable,603,581
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989C, CellID=39893",Reliable,1355,1280
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989B, CellID=39892",Reliable,1390,1322
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989A, CellID=39891",Reliable,1102,1048
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3242C, CellID=32423",Reliable,1964,1834
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3242B, CellID=32422",Reliable,127,123
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3242A, CellID=32421",Reliable,959,902
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884F, CellID=38846",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884E, CellID=38845",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884D, CellID=38844",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093C, CellID=30933",Reliable,1435,1370
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093B, CellID=30932",Reliable,1475,1385
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093A, CellID=30931",Reliable,1826,1720
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884C, CellID=38843",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884B, CellID=38842",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3884A, CellID=38841",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051F, CellID=30516",Reliable,139,136
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051E, CellID=30515",Reliable,524,503
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051D, CellID=30514",Reliable,71,67
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051C, CellID=30513",Reliable,67,63
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051B, CellID=30512",Reliable,79,78
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3051A, CellID=30511",Reliable,777,747
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120F, CellID=51206",Reliable,101,97
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120E, CellID=51205",Reliable,99,99
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120D, CellID=51204",Reliable,114,114
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120C, CellID=51203",Reliable,95,93
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120B, CellID=51202",Reliable,102,101
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5120A, CellID=51201",Reliable,102,102
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630F, CellID=36306",Reliable,168,167
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630E, CellID=36305",Reliable,318,316
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630D, CellID=36304",Reliable,194,192
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630C, CellID=36303",Reliable,193,186
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630B, CellID=36302",Reliable,174,172
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3630A, CellID=36301",Reliable,149,148
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529I, CellID=55299",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529H, CellID=55298",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529G, CellID=55297",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529F, CellID=55296",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529E, CellID=55295",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529D, CellID=55294",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529C, CellID=55293",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529B, CellID=55292",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC5529A, CellID=55291",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312I, CellID=33129",Reliable,22,17
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312H, CellID=33128",Reliable,595,582
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312G, CellID=33127",Reliable,446,430
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312F, CellID=33126",Reliable,26,23
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312E, CellID=33125",Reliable,584,553
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312D, CellID=33124",Reliable,499,471
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312C, CellID=33123",Reliable,258,241
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312B, CellID=33122",Reliable,747,715
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC3312A, CellID=33121",Reliable,700,678
2023-03-20 08:00,30,"RNCH-MA4-SCR/BSC6900UCell:Label=OC4207I, CellID=42079",Reliable,94,93
